chemical_name,chemical_formula,state,delta_h_form,delta_g_form
Methane,CH4,g,-74.5,-50.5
Ethane,C2H6,g,-83.8,-31.9
Propane,C3H8,g,-104.7,-24.3
n-Butane,C4H10,g,-125.8,-16.6
n-Pentane,C5H12,g,-146.8,-8.7
n-Pentane,C5H12,l,-173.1,-9.2
n-Hexane,C6H14,g,-166.9,0.2
n-Heptane,C7H16,g,-187.8,8.3
n-Octane,C8H18,g,-208.8,16.3
n-Octane,C8H18,l,-255.1,—
Acetylene,C2H2,g,227.5,210.0
Ethylene,C2H4,g,52.5,68.5
Propylene,C3H6,g,19.7,62.2
1-Butene,C4H8,g,1.2,70.3
1-Pentene,C5H10,g,-21.3,78.4
1-Hexene,C6H12,g,-42.0,86.8
1-Heptene,C7H14,g,-62.8,—
1,3-Butadiene,C4H6,g,109.2,149.8
Benzene,C6H6,g,82.9,129.7
Benzene,C6H6,l,49.1,124.5
Ethylbenzene,C8H10,g,29.9,130.9
Naphthalene,C10H8,s,78.5,—
Styrene,C8H8,g,147.4,213.9
Toluene,C7H8,g,50.2,122.1
Toluene,C7H8,l,12.2,113.6
Cyclohexane,C6H12,g,-123.1,31.9
Cyclohexane,C6H12,l,-156.2,26.9
Cyclopropane,C3H6,g,53.3,104.5
Methylcyclohexane,C7H14,g,-154.8,27.5
Methylcyclohexane,C7H14,l,-190.2,20.6
Cyclohexene,C6H10,l,102.5,—
Acetaldehyde,C2H4O,g,-166.2,-134.4
Acetic Acid,CH3COOH,l,-484.5,-389.9
Acetic Acid,CH3COOH,aq,-486.1,-396.5
1,2-Ethanediol,C2H6O2,l,-454.8,-323.1
Ethanol,C2H6O,g,-235.1,-168.5
Ethanol,C2H6O,l,-277.7,-174.8
Ethyl acetate,CH3COOC2H5,l,-478.8,-332.4
Ethylene oxide,C2H4O,g,-52.6,-13.0
Formaldehyde,CH2O,g,-108.6,-102.5
Formic acid,HCOOH,l,-424.7,-361.4
Methanol,CH4O,g,-200.7,-162.0
Methanol,CH4O,l,238.7,-166.3
Phenol,C6H5OH,s,-165.0,-50.9
Aluminum oxide,Al2O3,s,α,-1675.7,-1582.3
Aluminum chloride,AlCl3,s,-704.2,-628.8
Ammonia,NH3,g,-46.1,-16.5
Ammonia,NH3,aq,―,-26.5
Ammonium nitrate,NH4NO3,s,-365.6,-183.9
Ammonium chloride,NH4Cl,s,-314.4,-202.9
Barium oxide,BaO,s,-553.5,-525.1
Barium chloride,BaCl2,s,-858.6,-810.4
Bromine,Br2,l,0,0
Bromine,Br2,g,30.9,3.1
Calcium carbide,CaC2,s,-59.8,-64.9
Calcium carbonate,CaCO3,s,-1206.9,-1128.8
Calcium chloride,CaCl2,s,-795.8,-748.1
Calcium chloride,CaCl2,aq,―,-8101.9
Calcium chloride,CaCl2·6H2O,s,-2607.9,—
Calcium hydroxide,Ca(OH)2,s,-986.1,-898.5
Calcium hydroxide,Ca(OH)2,aq,―,-868.1
Calcium oxide,CaO,s,-635.1,-604.0
