TEMP	MOLEFRAC ETHYL-01	TOTAL PRES	TOTAL KVL ETHYL-01	TOTAL KVL N-HEP-01	LIQUID1 GAMMA ETHYL-01	LIQUID1 GAMMA N-HEP-01	LIQUID2 GAMMA ETHYL-01	LIQUID2 GAMMA N-HEP-01	TOTAL KVL2 ETHYL-01	TOTAL KVL2 N-HEP-01	TOTAL BETA	VAPOR MOLEFRAC ETHYL-01	VAPOR MOLEFRAC N-HEP-01	LIQUID1 MOLEFRAC ETHYL-01	LIQUID1 MOLEFRAC N-HEP-01	LIQUID2 MOLEFRAC ETHYL-01	LIQUID2 MOLEFRAC N-HEP-01
30	0	0.0774553	9.709034	1	1	1					1	0	1	0	1		
30	0.01	0.084201	8.931212	0.9198871	1	1					1	0.089312	0.9106879	0.01	0.99		
30	0.02	0.0909466	8.268773	0.851658	1	1					1	0.1653754	0.8346246	0.02	0.98		
30	0.03	0.0976922	7.697818	0.7928513	1	1					1	0.2309345	0.7690655	0.03	0.97		
30	0.04	0.1044378	7.200617	0.7416412	1	1					1	0.2880246	0.7119754	0.04	0.96		
30	0.05	0.1111835	6.763749	0.6966451	1	1					1	0.3381873	0.6618127	0.05	0.95		
30	0.06	0.1179291	6.376858	0.6567966	1	1					1	0.3826114	0.6173886	0.06	0.94		
30	0.07	0.1246747	6.031834	0.6212601	1	1					1	0.4222282	0.5777718	0.07	0.93		
30	0.08	0.1314203	5.722228	0.5893717	1	1					1	0.4577781	0.5422219	0.08	0.92		
30	0.09	0.1381659	5.442854	0.5605971	1	1					1	0.4898568	0.5101432	0.09	0.91		
30	0.1	0.1449115	5.18949	0.5345014	1	1					1	0.5189489	0.4810511	0.1	0.9		
30	0.11	0.1516571	4.958665	0.5107271	1	1					1	0.545453	0.454547	0.11	0.89		
30	0.12	0.1584028	4.747499	0.4889777	1	1					1	0.5696998	0.4303002	0.12	0.88		
30	0.13	0.1651484	4.553584	0.469005	1	1					1	0.5919658	0.4080342	0.13	0.87		
30	0.14	0.171894	4.374888	0.4505999	1	1					1	0.6124842	0.3875158	0.14	0.86		
30	0.15	0.1786396	4.209688	0.4335848	1	1					1	0.631453	0.368547	0.15	0.85		
30	0.16	0.1853852	4.05651	0.4178079	1	1					1	0.6490414	0.3509586	0.16	0.84		
30	0.17	0.1921308	3.914088	0.4031389	1	1					1	0.6653948	0.3346052	0.17	0.83		
30	0.18	0.1988764	3.781327	0.389465	1	1					1	0.6806388	0.3193612	0.18	0.82		
30	0.19	0.2056221	3.657278	0.3766882	1	1					1	0.6948826	0.3051174	0.19	0.81		
30	0.2	0.2123677	3.541108	0.3647232	1	1					1	0.7082215	0.2917785	0.2	0.8		
30	0.21	0.2191133	3.432092	0.3534948	1	1					1	0.7207392	0.2792608	0.21	0.79		
30	0.22	0.2258589	3.329587	0.3429372	1	1					1	0.7325091	0.2674909	0.22	0.78		
30	0.23	0.2326045	3.233028	0.3329919	1	1					1	0.7435963	0.2564037	0.23	0.77		
30	0.24	0.2393501	3.141911	0.3236071	1	1					1	0.7540586	0.2459414	0.24	0.76		
30	0.25	0.2460958	3.05579	0.3147369	1	1					1	0.7639474	0.2360526	0.25	0.75		
30	0.26	0.2528414	2.974264	0.3063399	1	1					1	0.7733085	0.2266915	0.26	0.74		
30	0.27	0.259587	2.896975	0.2983794	1	1					1	0.7821831	0.2178169	0.27	0.73		
30	0.28	0.2663326	2.823601	0.2908221	1	1					1	0.7906081	0.2093919	0.28	0.72		
30	0.29	0.2730782	2.753852	0.2836382	1	1					1	0.7986169	0.2013831	0.29	0.71		
30	0.3	0.2798238	2.687466	0.2768006	1	1					1	0.8062396	0.1937604	0.3	0.7		
30	0.31	0.2865694	2.624205	0.270285	1	1					1	0.8135034	0.1864966	0.31	0.69		
30	0.32	0.2933151	2.563854	0.264069	1	1					1	0.8204331	0.1795669	0.32	0.68		
30	0.33	0.3000607	2.506216	0.2581325	1	1					1	0.8270513	0.1729487	0.33	0.67		
30	0.34	0.3068063	2.451113	0.2524571	1	1					1	0.8333784	0.1666216	0.34	0.66		
30	0.35	0.3135519	2.398381	0.2470258	1	1					1	0.8394333	0.1605667	0.35	0.65		
30	0.36	0.3202975	2.34787	0.2418233	1	1					1	0.8452331	0.1547669	0.36	0.64		
30	0.37	0.3270431	2.299443	0.2368355	1	1					1	0.8507937	0.1492063	0.37	0.63		
30	0.38	0.3337888	2.252973	0.2320492	1	1					1	0.8561295	0.1438705	0.38	0.62		
30	0.39	0.3405344	2.208344	0.2274526	1	1					1	0.861254	0.138746	0.39	0.61		
30	0.4	0.34728	2.165449	0.2230345	1	1					1	0.8661793	0.1338207	0.4	0.6		
30	0.41	0.3540256	2.124188	0.2187848	1	1					1	0.870917	0.129083	0.41	0.59		
30	0.42	0.3607712	2.084471	0.214694	1	1					1	0.8754775	0.1245225	0.42	0.58		
30	0.43	0.3675168	2.046211	0.2107534	1	1					1	0.8798706	0.1201294	0.43	0.57		
30	0.44	0.3742624	2.009331	0.2069548	1	1					1	0.8841053	0.1158947	0.44	0.56		
30	0.45	0.3810081	1.973756	0.2032907	1	1					1	0.8881901	0.1118099	0.45	0.55		
30	0.46	0.3877537	1.939419	0.1997542	1	1					1	0.8921328	0.1078672	0.46	0.54		
30	0.47	0.3944993	1.906257	0.1963385	1	1					1	0.8959406	0.1040594	0.47	0.53		
30	0.48	0.4012449	1.874209	0.1930377	1	1					1	0.8996204	0.1003796	0.48	0.52		
30	0.49	0.4079905	1.843222	0.1898461	1	1					1	0.9031785	0.0968215	0.49	0.51		
30	0.5	0.4147361	1.813242	0.1867583	1	1					1	0.9066209	0.0933791	0.5	0.5		
30	0.51	0.4214818	1.784222	0.1837693	1	1					1	0.909953	0.0900469	0.51	0.49		
30	0.52	0.4282274	1.756116	0.1808745	1	1					1	0.9131802	0.0868197	0.52	0.48		
30	0.53	0.434973	1.728882	0.1780695	1	1					1	0.9163074	0.0836926	0.53	0.47		
30	0.54	0.4417186	1.70248	0.1753501	1	1					1	0.919339	0.080661	0.54	0.46		
30	0.55	0.4484642	1.676872	0.1727126	1	1					1	0.9222793	0.0777206	0.55	0.45		
30	0.56	0.4552098	1.652023	0.1701532	1	1					1	0.9251326	0.0748674	0.56	0.44		
30	0.57	0.4619554	1.627899	0.1676686	1	1					1	0.9279025	0.0720974	0.57	0.43		
30	0.58	0.4687011	1.60447	0.1652555	1	1					1	0.9305927	0.0694072	0.58	0.42		
30	0.59	0.4754467	1.581706	0.1629108	1	1					1	0.9332066	0.0667934	0.59	0.41		
30	0.6	0.4821923	1.559579	0.1606318	1	1					1	0.9357473	0.0642527	0.6	0.4		
30	0.61	0.4889379	1.538062	0.1584156	1	1					1	0.9382179	0.061782	0.61	0.39		
30	0.62	0.4956835	1.517131	0.1562598	1	1					1	0.9406213	0.0593787	0.62	0.38		
30	0.63	0.5024291	1.496762	0.1541619	1	1					1	0.9429601	0.0570398	0.63	0.37		
30	0.64	0.5091748	1.476933	0.1521195	1	1					1	0.945237	0.054763	0.64	0.36		
30	0.65	0.5159204	1.457622	0.1501306	1	1					1	0.9474543	0.0525456	0.65	0.35		
30	0.66	0.522666	1.43881	0.1481929	1	1					1	0.9496144	0.0503856	0.66	0.34		
30	0.67	0.5294116	1.420477	0.1463047	1	1					1	0.9517194	0.0482805	0.67	0.33		
30	0.68	0.5361572	1.402605	0.144464	1	1					1	0.9537715	0.0462284	0.68	0.32		
30	0.69	0.5429028	1.385178	0.142669	1	1					1	0.9557726	0.0442273	0.69	0.31		
30	0.7	0.5496484	1.368178	0.1409181	1	1					1	0.9577246	0.0422754	0.7	0.3		
30	0.71	0.5563941	1.351591	0.1392096	1	1					1	0.9596292	0.0403707	0.71	0.29		
30	0.72	0.5631397	1.3354	0.1375421	1	1					1	0.9614882	0.0385117	0.72	0.28		
30	0.73	0.5698853	1.319594	0.135914	1	1					1	0.9633032	0.0366967	0.73	0.27		
30	0.74	0.5766309	1.304156	0.1343241	1	1					1	0.9650757	0.0349242	0.74	0.26		
30	0.75	0.5833765	1.289076	0.1327709	1	1					1	0.9668073	0.0331927	0.75	0.25		
30	0.76	0.5901221	1.274341	0.1312532	1	1					1	0.9684992	0.0315007	0.76	0.24		
30	0.77	0.5968678	1.259939	0.1297698	1	1					1	0.9701529	0.029847	0.77	0.23		
30	0.78	0.6036134	1.245859	0.1283196	1	1					1	0.9717697	0.0282303	0.78	0.22		
30	0.79	0.610359	1.23209	0.1269014	1	1					1	0.9733507	0.0266492	0.79	0.21		
30	0.8	0.6171046	1.218622	0.1255142	1	1					1	0.9748972	0.0251028	0.8	0.2		
30	0.81	0.6238502	1.205445	0.1241571	1	1					1	0.9764102	0.0235898	0.81	0.19		
30	0.82	0.6305958	1.19255	0.1228289	1	1					1	0.9778908	0.0221092	0.82	0.18		
30	0.83	0.6373415	1.179928	0.1215289	1	1					1	0.9793401	0.0206599	0.83	0.17		
30	0.84	0.6440871	1.16757	0.1202561	1	1					1	0.980759	0.0192409	0.84	0.16		
30	0.85	0.6508327	1.155469	0.1190097	1	1					1	0.9821485	0.0178514	0.85	0.15		
30	0.86	0.6575783	1.143616	0.1177889	1	1					1	0.9835096	0.0164904	0.86	0.14		
30	0.87	0.664324	1.132003	0.1165928	1	1					1	0.9848429	0.015157	0.87	0.13		
30	0.88	0.6710696	1.120624	0.1154208	1	1					1	0.9861495	0.0138505	0.88	0.12		
30	0.89	0.6778152	1.109472	0.1142722	1	1					1	0.9874301	0.0125699	0.89	0.11		
30	0.9	0.6845608	1.098539	0.1131461	1	1					1	0.9886854	0.0113146	0.9	0.1		
30	0.91	0.6913064	1.08782	0.1120421	1	1					1	0.9899162	0.0100837	0.91	0.09		
30	0.92	0.698052	1.077308	0.1109594	1	1					1	0.9911233	0.00887675	0.92	0.08		
30	0.93	0.7047977	1.066997	0.1098974	1	1					1	0.9923072	0.00769282	0.93	0.07		
30	0.94	0.7115433	1.056882	0.1088555	1	1					1	0.9934687	0.00653133	0.94	0.06		
30	0.95	0.7182889	1.046956	0.1078332	1	1					1	0.9946083	0.00539166	0.95	0.05		
30	0.96	0.7250345	1.037215	0.10683	1	1					1	0.9957268	0.0042732	0.96	0.04		
30	0.97	0.7317801	1.027654	0.1058452	1	1					1	0.9968246	0.00317536	0.97	0.03		
30	0.98	0.7385257	1.018268	0.1048784	1	1					1	0.9979024	0.00209757	0.98	0.02		
30	0.99	0.7452714	1.009051	0.1039291	1	1					1	0.9989607	0.00103929	0.99	0.01		
30	1	0.7520169	1	0.1029969	1	1					1	1	0	1	0		
