TEMP	MOLEFRAC ETHYL-01	TOTAL PRES	TOTAL KVL ETHYL-01	TOTAL KVL N-HEP-01	LIQUID1 GAMMA ETHYL-01	LIQUID1 GAMMA N-HEP-01	LIQUID2 GAMMA ETHYL-01	LIQUID2 GAMMA N-HEP-01	TOTAL KVL2 ETHYL-01	TOTAL KVL2 N-HEP-01	TOTAL BETA	VAPOR MOLEFRAC ETHYL-01	VAPOR MOLEFRAC N-HEP-01	LIQUID1 MOLEFRAC ETHYL-01	LIQUID1 MOLEFRAC N-HEP-01	LIQUID2 MOLEFRAC ETHYL-01	LIQUID2 MOLEFRAC N-HEP-01
30	0	0.0878073	11.225	1	1.32225	1					1	0	1	0	1		
30	0.02	0.10577	9.27125	0.831199	1.31465	1.00006					1	0.185425	0.814575	0.02	0.98		
30	0.04	0.12353	7.89706	0.712622	1.30703	1.00024					1	0.315883	0.684118	0.04	0.96		
30	0.06	0.141087	6.87789	0.624816	1.29939	1.00055					1	0.412673	0.587327	0.06	0.94		
30	0.08	0.158437	6.09189	0.557227	1.29172	1.00099					1	0.487351	0.512649	0.08	0.92		
30	0.1	0.17558	5.46728	0.503636	1.28404	1.00159					1	0.546728	0.453272	0.1	0.9		
30	0.12	0.192515	4.95898	0.460139	1.27633	1.00233					1	0.595078	0.404922	0.12	0.88		
30	0.14	0.20924	4.53728	0.424164	1.26861	1.00324					1	0.635219	0.364781	0.14	0.86		
30	0.16	0.225753	4.18179	0.393945	1.26087	1.00433					1	0.669087	0.330914	0.16	0.84		
30	0.18	0.242054	3.87806	0.368231	1.25312	1.0056					1	0.698051	0.30195	0.18	0.82		
30	0.2	0.258143	3.61555	0.346112	1.24535	1.00706					1	0.723111	0.276889	0.2	0.8		
30	0.22	0.274017	3.38642	0.326907	1.23758	1.00874					1	0.745012	0.254988	0.22	0.78		
30	0.24	0.289677	3.18467	0.3101	1.22981	1.01064					1	0.764323	0.235677	0.24	0.76		
30	0.26	0.305121	3.0057	0.295293	1.22202	1.01278					1	0.781483	0.218517	0.26	0.74		
30	0.28	0.320349	2.84584	0.282171	1.21424	1.01518					1	0.796837	0.203163	0.28	0.72		
