TEMP	MOLEFRAC ETHYL-01	TOTAL PRES	TOTAL KVL ETHYL-01	TOTAL KVL N-HEP-01	LIQUID1 GAMMA ETHYL-01	LIQUID1 GAMMA N-HEP-01	LIQUID2 GAMMA ETHYL-01	LIQUID2 GAMMA N-HEP-01	TOTAL KVL2 ETHYL-01	TOTAL KVL2 N-HEP-01	TOTAL BETA	VAPOR MOLEFRAC ETHYL-01	VAPOR MOLEFRAC N-HEP-01	LIQUID1 MOLEFRAC ETHYL-01	LIQUID1 MOLEFRAC N-HEP-01	LIQUID2 MOLEFRAC ETHYL-01	LIQUID2 MOLEFRAC N-HEP-01
30	0	0.0774554	15.8634	1	1.666126	1					1	0	1	0	1		
30	0.01	0.0889214	13.69692	0.8717483	1.650857	1.000046					1	0.1369692	0.8630308	0.01	0.99		
30	0.02	0.1001786	12.05193	0.7744504	1.635852	1.000185					1	0.2410386	0.7589614	0.02	0.98		
30	0.03	0.1112321	10.76037	0.6981327	1.621108	1.000418					1	0.3228112	0.6771888	0.03	0.97		
30	0.04	0.1220871	9.719408	0.6366914	1.606619	1.000743					1	0.3887763	0.6112237	0.04	0.96		
30	0.05	0.1327485	8.862556	0.5861813	1.59238	1.001163					1	0.4431278	0.5568722	0.05	0.95		
30	0.06	0.1432213	8.144949	0.5439394	1.578388	1.001678					1	0.4886969	0.5113031	0.06	0.94		
30	0.07	0.1535103	7.5352	0.5081032	1.564638	1.002287					1	0.527464	0.472536	0.07	0.93		
30	0.08	0.16362	7.010698	0.4773306	1.551126	1.002992					1	0.5608559	0.4391441	0.08	0.92		
30	0.09	0.1735551	6.554738	0.4506303	1.537847	1.003794					1	0.5899264	0.4100736	0.09	0.91		
30	0.1	0.18332	6.154712	0.4272542	1.524798	1.004692					1	0.6154712	0.3845288	0.1	0.9		
30	0.11	0.1929192	5.800927	0.406627	1.511974	1.005688					1	0.638102	0.361898	0.11	0.89		
30	0.12	0.2023568	5.485807	0.3882991	1.499372	1.006782					1	0.6582968	0.3417032	0.12	0.88		
30	0.13	0.211637	5.203344	0.3719141	1.486989	1.007976					1	0.6764347	0.3235653	0.13	0.87		
30	0.14	0.2207641	4.948715	0.3571859	1.47482	1.00927					1	0.6928201	0.3071799	0.14	0.86		
30	0.15	0.2297419	4.718002	0.343882	1.462862	1.010664					1	0.7077003	0.2922997	0.15	0.85		
30	0.16	0.2385744	4.50799	0.3318115	1.451111	1.01216					1	0.7212783	0.2787217	0.16	0.84		
30	0.17	0.2472655	4.316013	0.3208166	1.439565	1.013759					1	0.7337223	0.2662777	0.17	0.83		
30	0.18	0.2558189	4.139848	0.3107651	1.428219	1.015462					1	0.7451726	0.2548274	0.18	0.82		
30	0.19	0.2642383	3.977619	0.3015461	1.417071	1.01727					1	0.7557477	0.2442523	0.19	0.81		
