TEMP	MOLEFRAC BENZE-01	TOTAL PRES	TOTAL KVL BENZE-01	TOTAL KVL 2:2:4-01	LIQUID1 GAMMA BENZE-01	LIQUID1 GAMMA 2:2:4-01	LIQUID2 GAMMA BENZE-01	LIQUID2 GAMMA 2:2:4-01	TOTAL KVL2 BENZE-01	TOTAL KVL2 2:2:4-01	TOTAL BETA	VAPOR MOLEFRAC BENZE-01	VAPOR MOLEFRAC 2:2:4-01	LIQUID1 MOLEFRAC BENZE-01	LIQUID1 MOLEFRAC 2:2:4-01	LIQUID2 MOLEFRAC BENZE-01	LIQUID2 MOLEFRAC 2:2:4-01
55	0	0.2376256	2.495236	1	1.373071	1					1	0	1	0	1		
55	0.01	0.2412173	2.451242	0.9853372	1.369042	1.000015					1	0.0245125	0.9754875	0.01	0.99		
55	0.02	0.2447792	2.408791	0.9712492	1.364995	1.00006					1	0.0481758	0.9518242	0.02	0.98		
55	0.03	0.248314	2.367779	0.9576975	1.36093	1.000136					1	0.0710333	0.9289666	0.03	0.97		
55	0.04	0.2518206	2.328143	0.9446607	1.356848	1.000245					1	0.0931257	0.9068743	0.04	0.96		
55	0.05	0.2552987	2.289816	0.932115	1.352748	1.000388					1	0.1144908	0.8855092	0.05	0.95		
55	0.06	0.2587481	2.252733	0.9200383	1.348631	1.000566					1	0.135164	0.864836	0.06	0.94		
55	0.07	0.2621686	2.216837	0.9084101	1.344497	1.000779					1	0.1551786	0.8448214	0.07	0.93		
55	0.08	0.26556	2.182072	0.8972111	1.340347	1.00103					1	0.1745658	0.8254342	0.08	0.92		
55	0.09	0.2689222	2.148386	0.8864234	1.336181	1.00132					1	0.1933547	0.8066453	0.09	0.91		
55	0.1	0.2722548	2.115729	0.8760301	1.331998	1.00165					1	0.2115729	0.7884271	0.1	0.9		
55	0.11	0.2755577	2.084058	0.8660154	1.327799	1.002021					1	0.2292463	0.7707537	0.11	0.89		
55	0.12	0.2788307	2.053327	0.8563645	1.323586	1.002435					1	0.2463992	0.7536008	0.12	0.88		
55	0.13	0.2820736	2.023497	0.8470637	1.319356	1.002893					1	0.2630546	0.7369454	0.13	0.87		
55	0.14	0.2852862	1.994529	0.8380999	1.315113	1.003398					1	0.2792341	0.7207659	0.14	0.86		
55	0.15	0.2884684	1.966387	0.829461	1.310854	1.00395					1	0.2949581	0.7050419	0.15	0.85		
55	0.16	0.2916199	1.939038	0.8211356	1.306581	1.004551					1	0.3102461	0.6897539	0.16	0.84		
55	0.17	0.2947406	1.912449	0.8131129	1.302295	1.005204					1	0.3251163	0.6748837	0.17	0.83		
55	0.18	0.2978303	1.886589	0.805383	1.297995	1.005909					1	0.3395859	0.6604141	0.18	0.82		
55	0.19	0.3008889	1.861429	0.7979363	1.293682	1.00667					1	0.3536716	0.6463284	0.19	0.81		
55	0.2	0.303916	1.836943	0.7907641	1.289357	1.007487					1	0.3673887	0.6326113	0.2	0.8		
55	0.21	0.3069117	1.813105	0.7838581	1.285019	1.008363					1	0.3807521	0.6192479	0.21	0.79		
55	0.22	0.3098757	1.78989	0.7772105	1.280669	1.0093					1	0.3937758	0.6062242	0.22	0.78		
55	0.23	0.3128079	1.767275	0.770814	1.276309	1.0103					1	0.4064732	0.5935268	0.23	0.77		
55	0.24	0.3157082	1.745238	0.7646618	1.271937	1.011365					1	0.418857	0.581143	0.24	0.76		
55	0.25	0.3185763	1.723757	0.7587476	1.267555	1.012499					1	0.4309393	0.5690607	0.25	0.75		
55	0.26	0.3214121	1.702814	0.7530653	1.263163	1.013702					1	0.4427316	0.5572683	0.26	0.74		
55	0.27	0.3242156	1.682389	0.7476096	1.258761	1.014979					1	0.454245	0.545755	0.27	0.73		
55	0.28	0.3269865	1.662464	0.7423751	1.254351	1.016331					1	0.4654899	0.5345101	0.28	0.72		
55	0.29	0.3297248	1.643022	0.7373571	1.249933	1.017762					1	0.4764764	0.5235236	0.29	0.71		
55	0.3	0.3324304	1.624047	0.7325512	1.245507	1.019274					1	0.4872142	0.5127858	0.3	0.7		
55	0.31	0.335103	1.605524	0.7279532	1.241074	1.02087					1	0.4977123	0.5022877	0.31	0.69		
55	0.32	0.3377427	1.587436	0.7235594	1.236634	1.022554					1	0.5079796	0.4920204	0.32	0.68		
55	0.33	0.3403493	1.569772	0.7193662	1.232189	1.024328					1	0.5180246	0.4819754	0.33	0.67		
55	0.34	0.3429227	1.552516	0.7153706	1.227739	1.026197					1	0.5278554	0.4721446	0.34	0.66		
55	0.35	0.3454628	1.535656	0.7115697	1.223284	1.028164					1	0.5374797	0.4625203	0.35	0.65		
55	0.36	0.3479695	1.519181	0.7079608	1.218826	1.030233					1	0.5469051	0.4530949	0.36	0.64		
55	0.37	0.3504428	1.503078	0.7045417	1.214365	1.032406					1	0.5561388	0.4438612	0.37	0.63		
55	0.38	0.3528827	1.487336	0.7013103	1.209901	1.03469					1	0.5651876	0.4348124	0.38	0.62		
55	0.39	0.3552889	1.471945	0.6982649	1.205437	1.037088					1	0.5740584	0.4259416	0.39	0.61		
55	0.4	0.3576615	1.456894	0.6954041	1.200971	1.039604					1	0.5827575	0.4172425	0.4	0.6		
55	0.41	0.3600004	1.442174	0.6927266	1.196507	1.042243					1	0.5912913	0.4087087	0.41	0.59		
55	0.42	0.3623057	1.427776	0.6902314	1.192043	1.04501					1	0.5996658	0.4003342	0.42	0.58		
55	0.43	0.3645771	1.41369	0.6879178	1.187582	1.04791					1	0.6078868	0.3921132	0.43	0.57		
55	0.44	0.3668148	1.399909	0.6857856	1.183125	1.050949					1	0.6159601	0.3840399	0.44	0.56		
55	0.45	0.3690199	1.38642	0.6838321	1.178671	1.054132					1	0.6238915	0.3761085	0.45	0.55		
55	0.46	0.3711898	1.373225	0.6820623	1.174223	1.057465					1	0.6316856	0.3683144	0.46	0.54		
55	0.47	0.3733259	1.360311	0.6804741	1.169781	1.060954					1	0.639348	0.3606519	0.47	0.53		
55	0.48	0.3754282	1.347671	0.6790681	1.165346	1.064607					1	0.646884	0.353116	0.48	0.52		
55	0.49	0.3774966	1.3353	0.6778453	1.160921	1.068428					1	0.6542984	0.3457016	0.49	0.51		
55	0.5	0.3795312	1.32319	0.6768068	1.156505	1.072427					1	0.6615962	0.3384038	0.5	0.5		
55	0.51	0.381532	1.311335	0.6759542	1.152101	1.07661					1	0.6687821	0.3312179	0.51	0.49		
55	0.52	0.383499	1.299731	0.6752893	1.147709	1.080986					1	0.6758609	0.3241391	0.52	0.48		
55	0.53	0.3854323	1.288371	0.6748142	1.143331	1.085562					1	0.6828371	0.3171629	0.53	0.47		
55	0.54	0.3873319	1.27725	0.6745314	1.138968	1.090348					1	0.6897154	0.3102846	0.54	0.46		
55	0.55	0.3891978	1.266364	0.6744436	1.134622	1.095353					1	0.6965003	0.3034997	0.55	0.45		
55	0.56	0.3910302	1.255707	0.674554	1.130294	1.100586					1	0.7031962	0.2968038	0.56	0.44		
55	0.57	0.3928289	1.245277	0.674866	1.125987	1.106059					1	0.7098076	0.2901924	0.57	0.43		
55	0.58	0.3945941	1.235067	0.6753836	1.1217	1.111781					1	0.7163389	0.2836611	0.58	0.42		
55	0.59	0.3963259	1.225076	0.6761111	1.117438	1.117765					1	0.7227945	0.2772055	0.59	0.41		
55	0.6	0.3980243	1.215299	0.6770531	1.1132	1.124022					1	0.7291788	0.2708212	0.6	0.4		
55	0.61	0.3996893	1.205733	0.6782148	1.108989	1.130566					1	0.7354963	0.2645037	0.61	0.39		
55	0.62	0.401321	1.196374	0.6796018	1.104807	1.13741					1	0.7417514	0.2582486	0.62	0.38		
55	0.63	0.4029194	1.187221	0.6812204	1.100657	1.144568					1	0.7479486	0.2520514	0.63	0.37		
55	0.64	0.4044846	1.178271	0.683077	1.096539	1.152057					1	0.7540924	0.2459076	0.64	0.36		
55	0.65	0.4060167	1.16952	0.6851791	1.092457	1.159891					1	0.7601874	0.2398126	0.65	0.35		
55	0.66	0.4075156	1.160969	0.6875344	1.088412	1.168089					1	0.7662384	0.2337616	0.66	0.34		
55	0.67	0.4089814	1.152614	0.6901515	1.084407	1.176669					1	0.7722502	0.2277498	0.67	0.33		
55	0.68	0.4104141	1.144454	0.6930395	1.080445	1.185649					1	0.7782275	0.2217725	0.68	0.32		
55	0.69	0.4118137	1.136488	0.6962084	1.076528	1.195052					1	0.7841755	0.2158245	0.69	0.31		
55	0.7	0.4131801	1.128715	0.6996691	1.072659	1.204898					1	0.7900994	0.2099006	0.7	0.3		
55	0.71	0.4145133	1.121135	0.703433	1.06884	1.215211					1	0.7960046	0.2039954	0.71	0.29		
55	0.72	0.4158132	1.113747	0.7075129	1.065076	1.226017					1	0.8018965	0.1981035	0.72	0.28		
55	0.73	0.4170796	1.106551	0.7119223	1.061368	1.237342					1	0.8077811	0.1922189	0.73	0.27		
55	0.74	0.4183125	1.099548	0.7166759	1.05772	1.249215					1	0.8136644	0.1863356	0.74	0.26		
