TEMP	MOLEFRAC ACETO-01	TOTAL PRES	TOTAL KVL ACETO-01	TOTAL KVL ETHAN-01	LIQUID1 GAMMA ACETO-01	LIQUID1 GAMMA ETHAN-01	LIQUID2 GAMMA ACETO-01	LIQUID2 GAMMA ETHAN-01	TOTAL KVL2 ACETO-01	TOTAL KVL2 ETHAN-01	TOTAL BETA	VAPOR MOLEFRAC ACETO-01	VAPOR MOLEFRAC ETHAN-01	LIQUID1 MOLEFRAC ACETO-01	LIQUID1 MOLEFRAC ETHAN-01	LIQUID2 MOLEFRAC ACETO-01	LIQUID2 MOLEFRAC ETHAN-01
49.3	0	0.286179	0.481711	1	0.172958	1					1	0	1	0	1		
49.3	0.02	0.283217	0.526461	1.00966	0.187069	0.999211					1	0.0105292	0.989471	0.02	0.98		
49.3	0.04	0.280308	0.573604	1.01777	0.201727	0.996885					1	0.0229441	0.977056	0.04	0.96		
49.3	0.06	0.277522	0.622992	1.02406	0.216918	0.993084					1	0.0373795	0.96262	0.06	0.94		
49.3	0.08	0.274926	0.674422	1.02831	0.232629	0.987874					1	0.0539537	0.946046	0.08	0.92		
49.3	0.1	0.272583	0.727624	1.03026	0.248841	0.981315					1	0.0727624	0.927238	0.1	0.9		
49.3	0.12	0.270555	0.782267	1.02969	0.265538	0.973472					1	0.0938721	0.906128	0.12	0.88		
49.3	0.14	0.2689	0.837954	1.02638	0.2827	0.964406					1	0.117314	0.882686	0.14	0.86		
49.3	0.16	0.267673	0.894226	1.02015	0.300309	0.954179					1	0.143076	0.856924	0.16	0.84		
49.3	0.18	0.266928	0.950571	1.01085	0.318343	0.942851					1	0.171103	0.828897	0.18	0.82		
49.3	0.2	0.266714	1.00643	0.998392	0.33678	0.930482					1	0.201287	0.798713	0.2	0.8		
49.3	0.22	0.267076	1.06123	0.982732	0.355598	0.917132					1	0.23347	0.76653	0.22	0.78		
49.3	0.24	0.268059	1.11435	0.96389	0.374772	0.902858					1	0.267444	0.732556	0.24	0.76		
49.3	0.26	0.269702	1.16521	0.941955	0.394278	0.887718					1	0.302954	0.697046	0.26	0.74		
49.3	0.28	0.27204	1.21324	0.917075	0.41409	0.871767					1	0.339706	0.660294	0.28	0.72		
49.3	0.3	0.275109	1.25791	0.889467	0.434181	0.855059					1	0.377374	0.622626	0.3	0.7		
49.3	0.32	0.278937	1.29878	0.8594	0.454524	0.83765					1	0.415609	0.584391	0.32	0.68		
49.3	0.34	0.28355	1.33545	0.827192	0.475088	0.819592					1	0.454054	0.545946	0.34	0.66		
49.3	0.36	0.288971	1.36765	0.793198	0.495844	0.800936					1	0.492354	0.507646	0.36	0.64		
49.3	0.38	0.29522	1.39518	0.757796	0.516762	0.781734					1	0.530167	0.469833	0.38	0.62		
49.3	0.4	0.30231	1.41794	0.721374	0.537807	0.762036					1	0.567176	0.432824	0.4	0.6		
49.3	0.42	0.310255	1.43594	0.68432	0.558948	0.74189					1	0.603095	0.396905	0.42	0.58		
49.3	0.44	0.319061	1.44927	0.647004	0.580148	0.721344					1	0.637678	0.362322	0.44	0.56		
49.3	0.46	0.328733	1.45809	0.609776	0.601373	0.700447					1	0.670721	0.329279	0.46	0.54		
49.3	0.48	0.33927	1.46264	0.572952	0.622583	0.679243					1	0.702065	0.297935	0.48	0.52		
49.3	0.5	0.350667	1.46319	0.536814	0.643741	0.65778					1	0.731593	0.268407	0.5	0.5		
